,Category,Class,Country,Unit,Value
2921,Number of critically endangered indigenous species,Mosses,Spain,Number,46.0
2922,Number of critically endangered indigenous species,Invertebrates,Spain,Number,18.0
2923,Number of vulnerable indigenous species,Mosses,Spain,Number,161.0
2924,Number of vulnerable indigenous species,Invertebrates,Spain,Number,203.0
2925,Total number of indigenous threatened species,Mosses,Spain,Number,259.0
2926,Total number of indigenous threatened species,Invertebrates,Spain,Number,273.0
2927,Threatened species as % of known species,Mosses,Spain,Percentage,23.545
2928,Threatened indigenous species as % of indigenous spec.,Mosses,Spain,Percentage,23.545
2929,Threatened indigenous species as % of indigenous spec.,Invertebrates,Spain,Percentage,0.479
2930,Total number of known species,Marine Fish,Sweden,Number,100.0
2931,Total number of known species,Freshwater Fish,Sweden,Number,42.0
2932,Total number of indigenous known species,Marine Fish,Sweden,Number,100.0
2933,Total number of indigenous known species,Freshwater Fish,Sweden,Number,42.0
2934,Number of endangered species,Marine Fish,Sweden,Number,6.0
2935,Number of endangered species,Freshwater Fish,Sweden,Number,1.0
2936,Number of critically endangered species,Marine Fish,Sweden,Number,6.0
2937,Number of vulnerable species,Marine Fish,Sweden,Number,7.0
2938,Number of vulnerable species,Freshwater Fish,Sweden,Number,1.0
2939,Total number of threatened species,Marine Fish,Sweden,Number,19.0
2940,Total number of threatened species,Freshwater Fish,Sweden,Number,2.0
2941,Number of endangered indigenous species,Marine Fish,Sweden,Number,6.0
2942,Number of endangered indigenous species,Freshwater Fish,Sweden,Number,1.0
2943,Number of critically endangered indigenous species,Marine Fish,Sweden,Number,6.0
2944,Number of vulnerable indigenous species,Marine Fish,Sweden,Number,7.0
2945,Number of vulnerable indigenous species,Freshwater Fish,Sweden,Number,1.0
2946,Total number of indigenous threatened species,Marine Fish,Sweden,Number,19.0
2947,Total number of indigenous threatened species,Freshwater Fish,Sweden,Number,2.0
2948,Threatened species as % of known species,Marine Fish,Sweden,Percentage,19.0
2949,Threatened species as % of known species,Freshwater Fish,Sweden,Percentage,4.762
2950,Threatened indigenous species as % of indigenous spec.,Marine Fish,Sweden,Percentage,19.0
2951,Threatened indigenous species as % of indigenous spec.,Freshwater Fish,Sweden,Percentage,4.762
2952,Total number of threatened species,Mosses,United Kingdom,Number,123.0
2953,Total number of known species,Mammals,Costa Rica,Number,227.0
2954,Total number of known species,Birds,Costa Rica,Number,856.0
2955,Total number of known species,Reptiles,Costa Rica,Number,173.0
2956,Total number of known species,Amphibians,Costa Rica,Number,189.0
2957,Total number of known species,Vascular plants,Costa Rica,Number,497.0
2958,Total number of known species,Invertebrates,Costa Rica,Number,403.0
2959,Number of endangered species,Mammals,Costa Rica,Number,3.0
2960,Number of endangered species,Birds,Costa Rica,Number,7.0
2961,Number of endangered species,Reptiles,Costa Rica,Number,5.0
2962,Number of endangered species,Amphibians,Costa Rica,Number,22.0
2963,Number of endangered species,Vascular plants,Costa Rica,Number,46.0
2964,Number of critically endangered species,Birds,Costa Rica,Number,2.0
2965,Number of critically endangered species,Reptiles,Costa Rica,Number,2.0
2966,Number of critically endangered species,Amphibians,Costa Rica,Number,23.0
2967,Number of critically endangered species,Vascular plants,Costa Rica,Number,8.0
2968,Number of vulnerable species,Mammals,Costa Rica,Number,8.0
2969,Number of vulnerable species,Birds,Costa Rica,Number,16.0
2970,Number of vulnerable species,Reptiles,Costa Rica,Number,5.0
2971,Number of vulnerable species,Amphibians,Costa Rica,Number,16.0
2972,Number of vulnerable species,Vascular plants,Costa Rica,Number,89.0
2973,Total number of threatened species,Mammals,Costa Rica,Number,11.0
2974,Total number of threatened species,Birds,Costa Rica,Number,25.0
2975,Total number of threatened species,Reptiles,Costa Rica,Number,12.0
2976,Total number of threatened species,Amphibians,Costa Rica,Number,61.0
2977,Total number of threatened species,Vascular plants,Costa Rica,Number,143.0
2978,Threatened species as % of known species,Mammals,Costa Rica,Percentage,4.846
2979,Threatened species as % of known species,Birds,Costa Rica,Percentage,2.9210000000000003
2980,Threatened species as % of known species,Reptiles,Costa Rica,Percentage,6.936
2981,Threatened species as % of known species,Amphibians,Costa Rica,Percentage,32.275
2982,Threatened species as % of known species,Vascular plants,Costa Rica,Percentage,28.773000000000003
2983,Total number of known species,Mosses,Latvia,Number,560.0
2984,Total number of known species,Lichens,Latvia,Number,687.0
2985,Total number of known species,Invertebrates,Latvia,Number,17100.0
2986,Total number of indigenous known species,Mosses,Latvia,Number,559.0
2987,Total number of indigenous known species,Lichens,Latvia,Number,687.0
2988,Total number of indigenous known species,Invertebrates,Latvia,Number,17000.0
2989,Number of endangered indigenous species,Mosses,Latvia,Number,41.0
2990,Number of endangered indigenous species,Lichens,Latvia,Number,18.0
2991,Number of endangered indigenous species,Invertebrates,Latvia,Number,38.0
2992,Number of critically endangered indigenous species,Mosses,Latvia,Number,3.0
2993,Number of critically endangered indigenous species,Lichens,Latvia,Number,2.0
2994,Number of critically endangered indigenous species,Invertebrates,Latvia,Number,7.0
2995,Number of vulnerable indigenous species,Mosses,Latvia,Number,17.0
2996,Number of vulnerable indigenous species,Lichens,Latvia,Number,4.0
2997,Number of vulnerable indigenous species,Invertebrates,Latvia,Number,34.0
2998,Total number of indigenous threatened species,Mosses,Latvia,Number,61.0
2999,Total number of indigenous threatened species,Lichens,Latvia,Number,24.0
3000,Total number of indigenous threatened species,Invertebrates,Latvia,Number,79.0
3001,Threatened species as % of known species,Mosses,Latvia,Percentage,10.892999999999999
3002,Threatened species as % of known species,Lichens,Latvia,Percentage,3.4930000000000003
3003,Threatened species as % of known species,Invertebrates,Latvia,Percentage,0.462
3004,Threatened indigenous species as % of indigenous spec.,Mosses,Latvia,Percentage,10.912
3005,Threatened indigenous species as % of indigenous spec.,Lichens,Latvia,Percentage,3.4930000000000003
3006,Threatened indigenous species as % of indigenous spec.,Invertebrates,Latvia,Percentage,0.465
3007,Total number of known species,Mammals,Lithuania,Number,68.0
3008,Total number of known species,Birds,Lithuania,Number,389.0
3009,Total number of known species,Reptiles,Lithuania,Number,7.0
3010,Total number of known species,Amphibians,Lithuania,Number,13.0
3011,Total number of known species,Vascular plants,Lithuania,Number,1334.0
3012,Total number of known species,Fish,Lithuania,Number,105.0
3013,Total number of known species,Marine Fish,Lithuania,Number,51.0
3014,Total number of known species,Freshwater Fish,Lithuania,Number,54.0
3015,Total number of known species,Mosses,Lithuania,Number,470.0
3016,Total number of known species,Lichens,Lithuania,Number,250.0
3017,Total number of known species,Invertebrates,Lithuania,Number,25000.0
3018,Total number of indigenous known species,Mammals,Lithuania,Number,59.0
3019,Total number of indigenous known species,Birds,Lithuania,Number,368.0
3020,Total number of indigenous known species,Reptiles,Lithuania,Number,7.0
3021,Total number of indigenous known species,Amphibians,Lithuania,Number,13.0
3022,Total number of indigenous known species,Vascular plants,Lithuania,Number,786.0
3023,Total number of indigenous known species,Fish,Lithuania,Number,85.0
3024,Total number of indigenous known species,Marine Fish,Lithuania,Number,49.0
3025,Total number of indigenous known species,Freshwater Fish,Lithuania,Number,36.0
3026,Number of endangered species,Mammals,Lithuania,Number,3.0
3027,Number of endangered species,Birds,Lithuania,Number,17.0
3028,Number of endangered species,Reptiles,Lithuania,Number,1.0
3029,Number of endangered species,Amphibians,Lithuania,Number,1.0
3030,Number of endangered species,Vascular plants,Lithuania,Number,66.0
3031,Number of endangered species,Fish,Lithuania,Number,0.0
3032,Number of endangered species,Marine Fish,Lithuania,Number,0.0
3033,Number of endangered species,Freshwater Fish,Lithuania,Number,0.0
3034,Number of endangered species,Mosses,Lithuania,Number,13.0
3035,Number of endangered species,Lichens,Lithuania,Number,16.0
3036,Number of endangered species,Invertebrates,Lithuania,Number,54.0
3037,Number of vulnerable species,Mammals,Lithuania,Number,4.0
3038,Number of vulnerable species,Birds,Lithuania,Number,20.0
3039,Number of vulnerable species,Reptiles,Lithuania,Number,1.0
3040,Number of vulnerable species,Amphibians,Lithuania,Number,1.0
3041,Number of vulnerable species,Vascular plants,Lithuania,Number,41.0
3042,Number of vulnerable species,Fish,Lithuania,Number,2.0
3043,Number of vulnerable species,Marine Fish,Lithuania,Number,0.0
3044,Number of vulnerable species,Freshwater Fish,Lithuania,Number,2.0
3045,Number of vulnerable species,Mosses,Lithuania,Number,26.0
3046,Number of vulnerable species,Lichens,Lithuania,Number,3.0
3047,Number of vulnerable species,Invertebrates,Lithuania,Number,22.0
3048,Total number of threatened species,Mammals,Lithuania,Number,7.0
3049,Total number of threatened species,Birds,Lithuania,Number,56.0
3050,Total number of threatened species,Reptiles,Lithuania,Number,2.0
3051,Total number of threatened species,Amphibians,Lithuania,Number,2.0
3052,Total number of threatened species,Vascular plants,Lithuania,Number,130.0
3053,Total number of threatened species,Fish,Lithuania,Number,5.0
3054,Total number of threatened species,Marine Fish,Lithuania,Number,1.0
3055,Total number of threatened species,Freshwater Fish,Lithuania,Number,4.0
3056,Total number of threatened species,Mosses,Lithuania,Number,48.0
3057,Total number of threatened species,Lichens,Lithuania,Number,43.0
3058,Total number of threatened species,Invertebrates,Lithuania,Number,89.0
3059,Number of endangered indigenous species,Mammals,Lithuania,Number,3.0
3060,Number of endangered indigenous species,Birds,Lithuania,Number,17.0
3061,Number of endangered indigenous species,Reptiles,Lithuania,Number,1.0
3062,Number of endangered indigenous species,Amphibians,Lithuania,Number,1.0
3063,Number of endangered indigenous species,Vascular plants,Lithuania,Number,66.0
3064,Number of endangered indigenous species,Fish,Lithuania,Number,0.0
3065,Number of endangered indigenous species,Marine Fish,Lithuania,Number,0.0
3066,Number of endangered indigenous species,Freshwater Fish,Lithuania,Number,0.0
3067,Number of endangered indigenous species,Mosses,Lithuania,Number,13.0
3068,Number of endangered indigenous species,Lichens,Lithuania,Number,16.0
3069,Number of endangered indigenous species,Invertebrates,Lithuania,Number,54.0
3070,Number of vulnerable indigenous species,Mammals,Lithuania,Number,4.0
3071,Number of vulnerable indigenous species,Birds,Lithuania,Number,20.0
3072,Number of vulnerable indigenous species,Reptiles,Lithuania,Number,1.0
3073,Number of vulnerable indigenous species,Amphibians,Lithuania,Number,1.0
3074,Number of vulnerable indigenous species,Vascular plants,Lithuania,Number,41.0
3075,Number of vulnerable indigenous species,Fish,Lithuania,Number,2.0
3076,Number of vulnerable indigenous species,Marine Fish,Lithuania,Number,0.0
3077,Number of vulnerable indigenous species,Freshwater Fish,Lithuania,Number,2.0
3078,Number of vulnerable indigenous species,Mosses,Lithuania,Number,26.0
3079,Number of vulnerable indigenous species,Lichens,Lithuania,Number,3.0
3080,Number of vulnerable indigenous species,Invertebrates,Lithuania,Number,22.0
3081,Total number of indigenous threatened species,Mammals,Lithuania,Number,7.0
3082,Total number of indigenous threatened species,Birds,Lithuania,Number,56.0
3083,Total number of indigenous threatened species,Reptiles,Lithuania,Number,2.0
3084,Total number of indigenous threatened species,Amphibians,Lithuania,Number,2.0
3085,Total number of indigenous threatened species,Vascular plants,Lithuania,Number,130.0
3086,Total number of indigenous threatened species,Fish,Lithuania,Number,5.0
3087,Total number of indigenous threatened species,Marine Fish,Lithuania,Number,1.0
3088,Total number of indigenous threatened species,Freshwater Fish,Lithuania,Number,4.0
